FIPS,Deaths
01001,27
01003,102
01005,14
01007,13
01009,18
01011,5
01013,9
01015,68
01017,17
01019,11
01021,20
01023,2
01025,18
01027,6
01029,7
01031,43
01033,35
01035,11
01037,8
01039,42
01041,7
01043,38
01045,28
01047,27
01049,35
01051,49
01053,19
01055,70
01057,10
01059,12
01061,20
01063,7
01065,13
01067,5
01069,56
01071,22
01073,279
01075,5
01077,47
01079,16
01081,40
01083,38
01085,4
01087,11
01089,98
01091,15
01093,15
01095,40
01097,304
01099,4
01101,139
01103,48
80001,0
01105,1
01107,9
01109,12
01111,14
01113,21
01117,61
01115,36
01119,3
01121,31
01123,21
01125,76
90001,0
01127,43
01129,8
01131,7
01133,12
02013,2
02016,1
02020,58
02050,3
02060,0
02164,0
02063,0
02066,0
02068,0
02070,2
02090,21
02100,0
02110,0
02122,8
02130,1
02150,1
02158,1
02170,32
02180,0
02185,0
02188,1
02195,1
02198,4
02220,3
02230,0
02240,4
90002,0
02261,0
02275,0
02282,1
02290,0
04001,69
04003,40
04005,30
04007,34
04009,16
04011,2
04012,10
04013,1663
04015,201
04017,79
80004,0
04019,281
04021,176
04023,17
90004,0
04025,120
04027,69
05001,19
05003,10
05005,59
05007,132
05009,26
05011,6
05013,5
05015,17
05017,4
05019,7
05021,4
05023,17
05025,5
05027,8
05029,9
05031,42
05033,37
05035,19
05037,11
05039,6
05041,3
05043,17
05045,41
05047,9
05049,5
05051,97
05053,13
05055,25
05057,3
05059,34
05061,5
05063,26
05065,10
05067,8
05069,44
05071,18
05073,3
05075,4
05077,6
05079,11
05081,5
05083,13
05085,51
05087,11
05089,20
05091,8
05093,13
05095,6
05097,5
05099,6
05101,3
05103,17
05105,4
05107,24
05109,7
05111,19
05113,23
05115,34
05117,6
05119,239
05121,6
05125,56
05127,5
05129,5
05131,49
05133,6
05135,12
05123,16
05137,9
90005,0
05139,18
05141,15
05143,80
05145,53
05147,9
05149,6
06001,192
06003,0
06005,11
06007,36
06009,13
06011,5
06013,177
06015,14
06017,21
06019,396
06021,5
06023,22
06025,114
06027,4
06029,588
06031,43
06033,34
06035,4
06037,3817
06039,53
06041,26
06043,3
06045,18
06047,113
06049,2
06051,0
06053,215
06055,18
06057,16
06059,1304
06061,86
06063,1
06065,947
06067,462
06069,7
06071,1747
06073,585
06075,157
06077,443
06079,43
06081,242
06083,68
06085,89
06087,25
06089,61
06091,0
06093,28
06095,123
06097,74
06099,202
06101,37
06103,40
06105,0
06107,89
06109,35
90006,0
06111,306
06113,46
06115,13
08001,148
08003,11
08005,117
08007,3
08009,1
08011,1
08013,16
08014,6
08015,2
08017,1
08019,2
08021,19
08023,4
08025,4
08027,4
08029,16
08031,125
08033,1
08035,38
08037,8
08041,225
08039,7
08043,19
08045,20
08047,0
08049,3
08051,2
08053,0
08055,2
08057,0
08059,124
08061,1
08063,3
08067,13
08065,1
08069,51
08071,7
08073,2
08075,6
08077,78
08079,0
08081,8
08083,8
08085,18
08087,7
08089,12
08091,2
80008,0
08093,2
08095,1
08097,1
08099,5
08101,81
08103,3
08105,7
08107,2
08109,4
08111,0
08113,3
08115,2
08117,3
08119,8
90008,0
08121,2
08123,71
08125,2
09001,162
09003,182
09005,20
09007,36
09009,232
09011,42
09013,25
09015,17
10001,95
10003,238
10005,125
90010,0
88888,0
11001,141
12001,51
12003,6
12005,50
12007,6
12009,168
12011,680
12013,5
12015,67
12017,59
12019,48
12021,88
12023,13
12027,22
12029,3
12031,308
12033,75
12035,22
12037,3
12039,13
12041,8
12043,4
12045,4
12047,4
12049,16
12051,14
12053,83
12055,62
12057,328
12059,5
12061,45
12063,8
12065,4
12067,2
12069,103
12071,137
12073,49
12075,20
12077,1
12079,2
12081,94
12083,193
12085,51
12086,1023
12087,6
12089,15
12091,40
12093,11
12095,206
12097,81
12099,403
12101,153
12103,220
12105,247
12107,33
12113,29
12115,102
12117,86
12109,23
12111,110
12119,46
12121,7
12123,6
90012,7588
12125,4
12127,183
12129,4
12131,8
12133,4
13001,11
13003,4
13005,11
13007,4
13009,37
13011,12
13013,38
13015,56
13017,12
13019,12
13021,116
13023,3
13025,21
13027,9
13029,10
13031,43
13033,16
13035,18
13037,2
13039,35
13043,11
13045,44
13047,16
13049,15
13051,144
13053,6
13055,11
13057,89
13059,34
13061,0
13063,172
13065,4
13067,266
13069,41
13071,34
13073,35
13075,7
13077,86
13079,7
13081,35
13083,5
13085,15
13089,281
13087,16
13091,14
13093,8
13095,46
13097,67
13099,6
13101,3
13103,27
13105,12
13107,9
13109,15
13111,19
13113,43
13115,52
13117,60
13119,17
13121,397
13123,21
13125,2
13127,78
13129,31
13131,17
13133,12
13135,296
13137,27
13139,117
13141,14
13143,16
13145,20
13147,9
13149,8
13151,91
13153,58
13155,6
13157,29
13159,9
13161,1
13163,12
13165,6
13167,3
13169,21
13171,17
13173,2
13175,30
13177,12
13179,24
13181,7
13183,2
13185,47
13187,26
13193,12
13195,10
13197,12
13189,11
13191,4
13199,35
13201,5
13205,15
13207,22
13209,4
13211,13
13213,24
13215,160
13217,80
13219,13
13221,5
80013,191
13223,76
13225,27
13227,13
13229,22
13231,16
13233,25
13235,12
13237,17
13239,2
13241,9
13243,3
13245,120
13247,47
13249,2
13251,14
13253,2
13255,56
13257,8
13259,5
13261,16
13263,4
13265,1
13267,25
13269,3
13271,8
13273,8
13275,29
13277,19
13279,28
13281,16
13283,15
13285,56
13287,10
13289,13
13291,22
13293,22
13295,18
13297,52
13299,53
13301,8
13303,23
13305,24
13307,0
13309,3
13311,15
13313,46
13315,4
13317,11
13319,5
13321,10
99999,0
66,18
15001,6
15003,106
15007,2
15009,36
80015,0
90015,0
16001,85
16003,2
16005,29
16007,4
16009,4
16011,16
16013,3
16015,2
16017,18
16019,33
16021,4
16023,0
16025,0
16027,66
16029,1
16031,3
16033,0
16035,5
16037,0
16039,10
16041,5
16043,0
16045,14
16047,3
16049,1
16051,11
16053,9
16055,71
16057,12
16059,1
16061,6
16063,0
16065,6
16067,5
16069,15
16071,1
16073,6
16075,7
16077,1
16079,11
16081,0
16083,22
90016,0
16085,1
16087,3
17001,24
17003,3
17005,0
17007,10
17009,1
17011,13
17013,0
17015,3
17017,5
17019,46
17021,10
17023,6
17025,3
17027,5
17029,13
17031,1380
17033,5
17035,3
17039,8
17037,12
17041,3
17043,140
17045,5
17047,3
17049,8
17051,4
17053,7
17055,19
17057,19
17059,0
17061,4
17063,17
17065,2
17067,5
17069,0
17071,0
17073,14
17075,8
17077,12
17079,1
17081,11
17083,6
17085,2
17087,8
17089,112
17091,38
17093,17
17095,25
17099,46
17097,116
17101,5
17103,13
17105,17
17107,15
17115,36
17117,14
17119,102
17121,20
17123,4
17125,8
17127,9
17109,13
17111,38
17113,41
17129,4
17131,1
17133,13
17135,6
17137,19
17139,5
17141,11
80017,0
17143,90
17145,10
17147,0
17149,4
17151,1
17153,5
17155,1
17157,13
17159,11
17161,48
17165,13
17167,34
17169,2
17171,1
17173,6
17163,80
17175,4
17177,12
17179,77
90017,321
17181,5
17183,48
17185,1
17187,7
17189,3
17191,6
17193,2
17195,27
17197,172
17199,20
17201,94
17203,25
18001,14
18003,85
18005,14
18007,2
18009,7
18011,20
18013,6
18015,7
18017,16
18019,29
18021,7
18023,7
18025,5
18027,6
18033,11
18029,17
18031,6
18035,25
18037,8
18039,64
18041,11
18043,23
18045,10
18047,0
18049,11
18051,21
18053,31
18055,6
18057,36
18059,23
18061,16
18063,30
18065,26
18067,53
18069,11
18071,12
18073,16
18075,5
18077,17
18079,8
18081,45
18083,10
18085,18
18087,3
18091,33
18089,179
18093,25
18095,44
18097,238
18099,15
18101,1
18103,13
18105,26
18107,12
18109,26
18111,9
18113,19
18115,0
18117,7
18119,8
18121,2
18123,8
18125,3
18127,63
18129,7
18131,6
18133,7
18135,8
18137,10
18139,5
18143,10
18145,9
18147,2
18141,65
18149,9
18151,9
18153,8
18155,1
18157,36
18159,10
90018,9
18161,0
18163,41
18165,4
18167,33
18169,10
18171,1
18173,14
18175,16
18177,14
18179,7
18181,4
18183,12
19001,4
19003,0
19005,6
19007,2
19009,5
19011,2
19013,37
19015,5
19017,10
19019,6
19021,4
19023,5
19025,2
19027,4
19029,5
19031,1
19033,19
19035,4
19037,4
19039,4
19041,2
19043,5
19045,10
19047,8
19049,12
19051,2
19053,1
19055,4
19057,19
19059,7
19061,23
19063,1
19065,8
19067,2
19069,4
19071,1
19073,1
19075,4
19077,4
19079,10
19081,6
19083,6
19085,6
19087,2
19089,1
19091,1
19093,4
19095,1
19097,5
19099,7
19101,3
19103,15
19105,3
19107,3
19109,14
19111,11
19113,34
19115,8
19117,2
19119,0
19121,1
19123,5
19125,11
19127,7
19129,4
19131,3
19133,5
19135,5
19137,2
19139,16
19141,3
19143,3
19145,4
19147,3
19149,5
19151,3
19153,106
19155,36
19157,6
19159,6
19161,2
19163,45
19165,5
19167,5
19169,3
19171,7
19173,0
90019,0
19175,6
19177,0
19179,18
19181,18
19183,6
19185,2
19187,15
19189,1
19191,10
19193,20
19195,1
19197,9
20001,6
20003,2
20005,9
20007,0
20009,3
20011,10
20013,3
20015,17
20017,0
20019,1
20021,20
20023,0
20025,0
20027,4
20031,6
20033,4
20035,18
20037,26
20039,1
20041,11
20043,4
20045,11
20047,0
20049,0
20051,2
20053,1
20055,5
20057,17
20059,13
20061,13
20063,2
20065,3
20067,5
20069,0
20071,0
20075,0
20079,13
20083,3
20085,3
20087,10
20089,2
20091,84
20095,4
20099,7
20101,0
20103,30
20105,1
20107,3
20109,1
20111,9
20115,0
20117,5
20113,5
20119,3
20121,7
20123,0
20125,21
20127,2
20129,0
20131,1
20133,21
20135,1
