FIPS,Deaths
01001,49
01003,226
01005,20
01007,23
01009,33
01011,8
01013,24
01015,142
01017,27
01019,19
01021,46
01023,4
01025,30
01027,12
01029,14
01031,79
01033,68
01035,24
01037,12
01039,64
01041,17
01043,85
01045,68
01047,49
01049,70
01051,83
01053,52
01055,149
01057,17
01059,25
01061,50
01063,11
01065,18
01067,18
01069,126
01071,60
01073,424
01075,12
01077,72
01079,24
01081,71
01083,59
01085,9
01087,15
01089,188
01091,30
01093,28
01095,71
01097,531
01099,18
01101,184
01103,91
80001,0
01105,10
01107,22
01109,27
01111,17
01113,26
01117,106
01115,93
01119,5
01121,85
01123,45
01125,144
90001,0
01127,83
01129,14
01131,12
01133,30
02013,2
02016,1
02020,119
02050,6
02060,0
02164,0
02063,0
02066,1
02068,1
02070,4
02090,37
02100,0
02110,4
02122,21
02130,6
02150,2
02158,2
02170,49
02180,0
02185,1
02188,2
02195,2
02198,4
02220,5
02230,0
02240,6
90002,0
02261,0
02275,0
02282,1
02290,1
04001,90
04003,62
04005,38
04007,46
04009,26
04011,5
04012,18
04013,2337
04015,288
04017,108
80004,0
04019,423
04021,248
04023,22
90004,0
04025,184
04027,110
05001,23
05003,13
05005,76
05007,196
05009,41
05011,7
05013,5
05015,25
05017,6
05019,14
05021,10
05023,24
05025,8
05027,13
05029,12
05031,65
05033,63
05035,32
05037,12
05039,6
05041,8
05043,19
05045,65
05047,15
05049,9
05051,138
05053,16
05055,41
05057,7
05059,39
05061,7
05063,36
05065,14
05067,9
05069,65
05071,26
05073,4
05075,11
05077,11
05079,11
05081,6
05083,16
05085,66
05087,14
05089,26
05091,13
05093,24
05095,6
05097,11
05099,7
05101,8
05103,24
05105,11
05107,35
05109,13
05111,23
05113,33
05115,51
05117,7
05119,313
05121,7
05125,81
05127,11
05129,9
05131,90
05133,9
05135,17
05123,23
05137,12
90005,0
05139,28
05141,18
05143,126
05145,74
05147,14
05149,13
06001,238
06003,0
06005,19
06007,63
06009,26
06011,7
06013,239
06015,34
06017,38
06019,559
06021,11
06023,64
06025,121
06027,4
06029,667
06031,84
06033,57
06035,16
06037,4639
06039,72
06041,28
06043,6
06045,37
06047,167
06049,2
06051,0
06053,247
06055,26
06057,21
06059,1511
80006,0
06061,142
06063,2
06065,1215
06067,698
06069,12
06071,1937
06073,775
06075,210
06077,549
06079,84
06081,259
06083,95
06085,158
06087,29
06089,132
06091,0
06093,37
06095,155
06097,104
06099,326
06101,61
06103,61
06105,7
06107,127
06109,36
90006,0
06111,373
06113,54
06115,25
08001,198
08003,14
08005,163
08007,3
08009,1
08011,3
08013,24
08014,6
08015,6
08017,1
08019,3
08021,22
08023,7
08025,9
08027,4
08029,22
08031,159
08033,3
08035,70
08037,9
08041,328
08039,10
08043,33
08045,22
08047,0
08049,7
08051,5
08053,0
08055,3
08057,0
08059,167
08061,1
08063,4
08067,15
08065,1
08069,68
08071,9
08073,4
08075,16
08077,113
08079,0
08081,15
08083,12
08085,26
08087,10
08089,18
08091,2
80008,0
08093,5
08095,1
08097,1
08099,9
08101,107
08103,4
08105,9
08107,3
08109,4
08111,0
08113,5
08115,2
08117,3
08119,11
90008,0
08121,4
08123,116
08125,2
09001,222
09003,261
09005,34
09007,46
09009,284
09011,72
09013,31
90009,0
09015,28
10001,111
10003,267
10005,154
90010,0
88888,0
11001,155
12001,51
12003,6
12005,50
12007,6
12009,168
12011,680
12013,5
12015,67
12017,59
12019,48
12021,88
12023,13
12027,22
12029,3
12031,308
12033,75
12035,22
12037,3
12039,13
12041,8
12043,4
12045,4
12047,4
12049,16
12051,14
12053,83
12055,62
12057,328
12059,5
12061,45
12063,8
12065,4
12067,2
12069,103
12071,137
12073,49
12075,20
12077,1
12079,2
12081,94
12083,193
12085,51
12086,1023
12087,6
12089,15
12091,40
12093,11
12095,206
12097,81
12099,403
12101,153
12103,220
12105,247
12107,33
12113,29
12115,102
12117,86
12109,23
12111,110
12119,46
12121,7
12123,6
90012,18036
12125,4
12127,183
12129,4
12131,8
12133,4
13001,26
13003,9
13005,18
13007,7
13009,60
13011,22
13013,59
13015,113
13017,21
13019,18
13021,192
13023,16
13025,46
13027,17
13029,23
13031,82
13033,21
13035,25
13037,5
13039,54
13043,21
13045,72
13047,29
13049,25
13051,235
13053,6
13055,25
13057,144
13059,47
13061,1
13063,253
13065,9
13067,359
13069,55
13071,66
13073,73
13075,14
13077,140
13079,21
13081,45
13083,7
13085,24
13089,372
13087,27
13091,20
13093,13
13095,95
13097,84
13099,12
13101,3
13103,80
13105,18
13107,25
13109,23
13111,38
13113,66
13115,118
13117,82
13119,29
13121,506
13123,47
13125,2
13127,152
13129,71
13131,28
13133,17
13135,390
13137,39
13139,178
13141,18
13143,27
13145,27
13147,11
13149,16
13151,168
13153,111
13155,7
13157,56
13159,20
13161,11
13163,21
13165,11
13167,10
13169,37
13171,31
13173,3
13175,65
13177,24
13179,38
13181,11
13183,8
13185,94
13187,31
13193,12
13195,18
13197,18
13189,23
13191,11
13199,41
13201,9
13205,23
13207,50
13209,14
13211,19
13213,46
13215,207
13217,116
13219,15
13221,11
80013,318
13223,119
13225,42
13227,34
13229,39
13231,32
13233,58
13235,17
13237,27
13239,3
13241,13
13243,7
13245,188
13247,72
13249,4
13251,28
13253,5
13255,94
13257,20
13259,7
13261,25
13263,6
13265,1
13267,43
13269,10
13271,12
13273,14
13275,54
13277,42
13279,52
13281,26
13283,22
13285,85
13287,16
13289,22
13291,38
13293,42
13295,48
13297,86
13299,81
13301,11
13303,39
13305,77
13307,2
13309,10
13311,42
13313,96
13315,8
13317,13
13319,14
13321,21
