FIPS,Deaths
01001,16
01003,22
01005,5
01007,3
01009,8
01011,4
01013,3
01015,26
01017,12
01019,7
01021,11
01023,1
01025,10
01027,2
01029,2
01031,13
01033,16
01035,4
01037,5
01039,10
01041,3
01043,12
01045,4
01047,9
01049,10
01051,20
01053,3
01055,33
01057,6
01059,5
01061,5
01063,2
01065,7
01067,3
01069,19
01071,8
01073,143
01075,1
01077,26
01079,13
01081,15
01083,16
01085,2
01087,6
01089,43
01091,9
01093,5
01095,12
01097,77
01099,1
01101,84
01103,27
80001,0
01107,5
01109,5
01111,1
01113,8
01117,31
01115,14
01119,1
01121,12
01123,7
01125,39
90001,0
01127,23
01129,4
01131,2
01133,5
02013,2
02016,1
02020,17
02050,2
02060,0
02164,0
02063,0
02066,0
02068,0
02070,1
02090,8
02100,0
02110,0
02122,0
02130,0
02150,0
02158,1
02170,12
02180,0
02185,0
02188,0
02195,0
02198,0
02220,1
02230,0
02240,1
90002,0
02261,0
02275,0
02282,1
02290,0
04001,44
04003,18
04005,18
04007,13
04009,4
04011,0
04012,9
04013,759
04015,69
04017,39
80004,0
04019,176
04021,104
04023,8
90004,0
04025,42
04027,42
05001,3
05003,5
05005,9
05007,35
05009,7
05011,2
05013,1
05015,3
05017,3
05019,4
05021,2
05023,10
05025,1
05027,3
05029,2
05031,10
05033,17
05035,6
05037,3
05039,3
05041,3
05043,8
05045,12
05047,2
05049,1
05051,28
05053,1
05055,3
05057,2
05059,6
05061,2
05063,7
05065,0
05067,5
05069,7
05071,8
05073,1
05075,2
05077,0
05079,4
05081,3
05083,4
05085,14
05087,2
05089,1
05091,6
05093,2
05095,2
05097,4
05099,1
05101,0
05103,10
05105,1
05107,4
05109,0
05111,4
05113,7
05115,9
05117,0
05119,88
05121,3
05125,12
05127,0
05129,3
05131,19
05135,0
05123,6
05137,2
90005,0
05139,14
05141,4
05143,17
05145,11
05147,4
05149,2
06001,163
06003,0
06005,4
06007,17
06009,4
06011,3
06013,106
06015,1
06017,12
06019,265
06021,2
06023,6
06025,85
06027,1
06029,476
06031,29
06033,3
06035,0
06037,2432
06039,41
06041,14
06043,0
06045,5
06047,59
06049,0
06051,0
06053,55
06055,11
06057,4
06059,1036
06061,48
06063,0
06065,732
06067,195
06069,6
06071,1037
06073,399
06075,114
06077,209
06079,16
06081,66
06083,38
06085,284
06087,22
06089,22
06091,0
06093,6
06095,83
06097,40
06099,80
06101,11
06103,21
06105,0
06107,55
06109,8
90006,0
06111,229
06113,20
06115,3
08001,54
08003,3
08005,49
08007,0
08009,0
08011,0
08013,7
08014,0
08015,1
08017,0
08019,1
08021,1
08023,1
08025,2
08027,0
08029,2
08031,52
08033,0
08035,11
08037,1
08041,60
08039,1
08043,4
08045,1
08047,0
08049,0
08051,0
08053,0
08055,1
08057,0
08059,52
08061,0
08063,0
08067,3
08065,0
08069,13
08071,1
08073,0
08075,2
08077,12
08079,0
08081,0
08083,0
08085,3
08087,3
08089,4
08091,0
80008,0
08093,0
08095,0
08097,0
08099,0
08101,32
08103,0
08105,1
08107,1
08109,0
08111,0
08113,0
08115,0
08117,1
08119,1
90008,0
08121,1
08123,22
08125,0
09001,109
09003,110
09005,14
09007,21
09009,144
09011,30
09013,17
09015,11
10001,39
10003,113
10005,51
90010,0
88888,0
11001,86
12001,41
12003,4
12005,41
12007,4
12009,115
12011,495
12013,3
12015,46
12017,35
12019,32
12021,64
12023,11
12027,18
12029,3
12031,211
12033,47
12035,18
12037,0
12039,7
12041,7
12043,4
12045,1
12047,4
12049,13
12051,9
12053,60
12055,46
12057,198
12059,8
12061,37
12063,6
12065,3
12067,2
12069,68
12071,87
12073,31
12075,17
12077,1
12079,2
12081,66
12083,144
12085,36
12086,710
12087,3
12089,12
12091,34
12093,10
12095,142
12097,52
12099,290
12101,94
12103,157
12105,169
12107,18
12113,23
12115,70
12117,58
12109,11
12111,79
12119,37
12121,5
12123,3
90012,0
12125,2
12127,125
12129,3
12131,6
12133,4
13001,7
13003,0
13005,2
13007,2
13009,19
13011,1
13013,19
13015,25
13017,6
13019,3
13021,65
13023,2
13025,8
13027,2
13029,6
13031,22
13033,9
13035,9
13037,0
13039,4
13043,6
13045,25
13047,7
13049,6
13051,83
13053,4
13055,5
13057,50
13059,25
13061,0
13063,79
13065,2
13067,130
13069,22
13071,17
13073,15
13075,2
13077,54
13079,3
13081,19
13083,4
13085,8
13089,159
13087,5
13091,4
13093,5
13095,23
13097,35
13099,4
13101,3
13103,8
13105,9
13107,3
13109,7
13111,11
13113,26
13115,26
13117,32
13119,9
