FIPS,Deaths
01001,23
01003,46
01005,10
01007,5
01009,12
01011,6
01013,6
01015,48
01017,15
01019,10
01021,17
01023,2
01025,13
01027,5
01029,6
01031,30
01033,24
01035,8
01037,6
01039,19
01041,4
01043,24
01045,10
01047,22
01049,17
01051,34
01053,11
01055,51
01057,9
01059,4
01061,13
01063,5
01065,10
01067,4
01069,32
01071,15
01073,217
01075,5
01077,43
01079,16
01081,28
01083,24
01085,4
01087,9
01089,78
01091,12
01093,12
01095,26
01097,137
01099,2
01101,127
01103,40
80001,0
01105,1
01107,8
01109,7
01111,4
01113,13
01117,42
01115,29
01119,2
01121,25
01123,14
01125,55
90001,0
01127,33
01129,4
01131,6
01133,6
02013,2
02016,1
02020,29
02050,3
02060,0
02164,0
02063,0
02066,0
02068,0
02070,1
02090,15
02100,0
02110,0
02122,1
02130,0
02150,1
02158,1
02170,26
02180,0
02185,0
02188,0
02195,1
02198,3
02220,2
02230,0
02240,2
90002,0
02261,0
02275,0
02282,1
02290,0
04001,56
04003,32
04005,21
04007,20
04009,15
04011,0
04012,7
04013,1340
04015,149
04017,67
80004,0
04019,243
04021,157
04023,14
90004,0
04025,83
04027,63
05001,8
05003,8
05005,26
05007,59
05009,10
05011,3
05013,2
05015,9
05017,3
05019,3
05021,4
05023,10
05025,4
05027,6
05029,6
05031,22
05033,23
05035,8
05037,6
05039,5
05041,2
05043,13
05045,25
05047,3
05049,2
05051,42
05053,7
05055,8
05057,2
05059,15
05061,2
05063,13
05065,4
05067,5
05069,25
05071,9
05073,2
05075,2
05077,4
05079,5
05081,4
05083,5
05085,29
05087,6
05089,4
05091,6
05093,6
05095,4
05097,4
05099,3
05101,1
05103,14
05105,4
05107,12
05109,1
05111,9
05113,9
05115,16
05117,2
05119,146
05121,4
05125,30
05127,2
05129,4
05131,34
05135,7
05123,10
05137,4
90005,0
05139,17
05141,7
05143,38
05145,27
05147,5
05149,3
06001,160
06003,0
06005,6
06007,25
06009,11
06011,5
06013,138
06015,3
06017,18
06019,339
06021,5
06023,22
06025,107
06027,3
06029,548
06031,31
06033,26
06035,1
06037,3224
06039,51
06041,25
06043,0
06045,8
06047,89
06049,2
06051,0
06053,201
06055,12
06057,6
06059,1223
06061,67
06063,1
06065,874
06067,319
06069,6
06071,1637
06073,495
06075,138
06077,346
06079,21
06081,234
06083,54
06085,395
06087,22
06089,37
06091,0
06093,26
06095,97
06097,51
06099,126
06101,28
06103,34
06105,0
06107,73
06109,11
90006,0
06111,269
06113,27
06115,9
08001,101
08003,9
08005,88
08007,2
08009,1
08011,1
08013,12
08014,4
08015,2
08017,1
08019,2
08021,17
08023,3
08025,3
08027,4
08029,14
08031,91
08033,1
08035,27
08037,4
08041,171
08039,3
08043,14
08045,17
08047,0
08049,1
08051,1
08053,0
08055,1
08057,0
08059,99
08061,0
08063,2
08067,8
08065,1
08069,27
08071,2
08073,0
08075,3
08077,66
08079,0
08081,8
08083,5
08085,17
08087,5
08089,9
08091,2
80008,0
08093,0
08095,0
08097,0
08099,3
08101,64
08103,1
08105,7
08107,2
08109,4
08111,0
08113,1
08115,1
08117,1
08119,5
90008,0
08121,1
08123,40
08125,2
09001,147
09003,158
09005,19
09007,33
09009,215
09011,40
09013,23
09015,16
10001,87
10003,211
10005,113
90010,0
88888,0
11001,130
12001,51
12003,6
12005,50
12007,6
12009,168
12011,680
12013,5
12015,67
12017,59
12019,48
12021,88
12023,13
12027,22
12029,3
12031,308
12033,75
12035,22
12037,3
12039,13
12041,8
12043,4
12045,4
12047,4
12049,16
12051,14
12053,83
12055,62
12057,328
12059,5
12061,45
12063,8
12065,4
12067,2
12069,103
12071,137
12073,49
12075,20
12077,1
12079,2
12081,94
12083,193
12085,51
12086,1023
12087,6
12089,15
12091,40
12093,11
12095,206
12097,81
12099,403
12101,153
12103,220
12105,247
12107,33
12113,29
12115,102
12117,86
12109,23
12111,110
12119,46
12121,7
12123,6
90012,2106
12125,4
12127,183
12129,4
12131,8
12133,4
13001,8
13003,4
13005,6
13007,4
13009,28
13011,7
13013,30
13015,44
13017,11
13019,7
13021,87
13023,3
13025,12
13027,5
13029,9
13031,31
13033,13
13035,17
13037,1
13039,12
13043,9
13045,34
13047,14
13049,9
13051,104
13053,6
13055,10
13057,73
13059,30
13061,0
13063,139
13065,3
13067,209
13069,32
13071,30
13073,25
13075,3
13077,73
13079,5
13081,31
13083,4
13085,14
13089,251
13087,10
13091,11
13093,4
13095,33
13097,53
13099,3
13101,3
13103,16
13105,11
13107,6
13109,11
13111,15
13113,36
13115,45
13117,50
13119,13
13121,365
13123,17
13125,2
13127,21
13129,18
13131,11
13133,10
13135,258
13137,23
13139,100
13141,12
13143,14
13145,17
13147,6
13149,7
13151,72
13153,51
13155,6
13157,22
13159,7
13161,1
13163,11
13165,5
13167,3
13169,18
13171,10
13173,2
13175,17
13177,8
13179,17
13181,7
13183,2
13185,34
13187,23
13193,11
13195,9
13197,11
13189,9
13191,1
13199,33
13201,5
13205,11
13207,17
13209,2
13211,13
13213,21
13215,144
13217,70
13219,12
13221,4
80013,156
13223,59
13225,22
13227,10
13229,12
13231,13
13233,21
13235,9
13237,13
13239,2
13241,7
13243,2
13245,106
13247,37
13249,2
13251,11
13253,1
13255,47
13257,8
13259,4
13261,13
13263,1
13265,1
13267,12
13269,3
13271,7
