FIPS,Deaths
01001,19
01003,28
01005,8
01007,4
01009,12
01011,6
01013,5
01015,38
01017,13
01019,7
01021,15
01023,2
01025,11
01027,3
01029,3
01031,19
01033,19
01035,6
01037,6
01039,13
01041,3
01043,17
01045,7
01047,13
01049,13
01051,23
01053,5
01055,40
01057,6
01059,5
01061,11
01063,2
01065,10
01067,2
01069,24
01071,10
01073,165
01075,4
01077,34
01079,16
01081,20
01083,22
01085,3
01087,7
01089,58
01091,10
01093,7
01095,18
01097,88
01099,2
01101,100
01103,32
80001,0
01107,8
01109,5
01111,3
01113,10
01117,38
01115,24
01119,1
01121,17
01123,11
01125,47
90001,0
01127,23
01129,4
01131,5
01133,6
02013,2
02016,1
02020,20
02050,3
02060,0
02164,0
02063,0
02066,0
02068,0
02070,1
02090,14
02100,0
02110,0
02122,0
02130,0
02150,1
02158,1
02170,22
02180,0
02185,0
02188,0
02195,0
02198,0
02220,1
02230,0
02240,2
90002,0
02261,0
02275,0
02282,1
02290,0
04001,49
04003,22
04005,19
04007,15
04009,10
04011,0
04012,9
04013,955
04015,92
04017,48
80004,0
04019,195
04021,125
04023,12
90004,0
04025,48
04027,50
05001,4
05003,6
05005,10
05007,40
05009,7
05011,2
05013,1
05015,4
05017,3
05019,4
05021,4
05023,10
05025,1
05027,3
05029,3
05031,14
05033,18
05035,7
05037,3
05039,3
05041,3
05043,10
05045,13
05047,3
05049,1
05051,30
05053,2
05055,5
05057,2
05059,8
05061,2
05063,8
05065,1
05067,5
05069,8
05071,8
05073,1
05075,2
05077,1
05079,4
05081,3
05083,7
05085,16
05087,2
05089,1
05091,7
05093,4
05095,2
05097,4
05099,1
05101,0
05103,12
05105,1
05107,9
05109,0
05111,4
05113,9
05115,11
05117,0
05119,100
05121,3
05125,17
05127,0
05129,4
05131,28
05135,2
05123,8
05137,2
90005,0
05139,15
05141,4
05143,23
05145,13
05147,5
05149,3
06001,148
06003,0
06005,4
06007,13
06009,9
06011,4
06013,119
06015,3
06017,12
06019,301
06021,3
06023,12
06025,100
06027,0
06029,512
06031,27
06033,5
06035,0
06037,2893
06039,46
06041,15
06043,0
06045,6
06047,71
06049,0
06051,0
06053,55
06055,12
06057,6
06059,1144
06061,54
06063,0
06065,762
06067,243
06069,6
06071,1155
06073,453
06075,126
06077,286
06079,17
06081,128
06083,43
06085,353
06087,22
06089,28
06091,0
06093,16
06095,90
06097,44
06099,100
06101,12
06103,31
06105,0
06107,64
06109,10
90006,0
06111,246
06113,22
06115,7
08001,73
08003,7
08005,65
08007,1
08009,0
08011,1
08013,9
08014,2
08015,1
08017,0
08019,1
08021,8
08023,2
08025,2
08027,0
08029,4
08031,70
08033,1
08035,17
08037,2
08041,107
08039,1
08043,11
08045,8
08047,0
08049,1
08051,0
08053,0
08055,1
08057,0
08059,76
08061,0
08063,0
08067,4
08065,0
08069,22
08071,2
08073,0
08075,3
08077,31
08079,0
08081,0
08083,1
08085,8
08087,5
08089,5
08091,0
80008,0
08093,0
08095,0
08097,0
08099,1
08101,51
08103,1
08105,4
08107,2
08109,1
08111,0
08113,1
08115,1
08117,1
08119,4
90008,0
08121,1
08123,28
08125,1
09001,140
09003,141
09005,18
09007,30
09009,194
09011,37
09013,22
09015,14
10001,49
10003,129
10005,61
90010,0
88888,0
11001,113
12001,49
12003,6
12005,50
12007,6
12009,157
12011,670
12013,5
12015,66
12017,58
12019,47
12021,81
12023,13
12027,22
12029,3
12031,314
12033,69
12035,20
12037,3
12039,14
12041,8
12043,4
12045,4
12047,4
12049,16
12051,13
12053,82
12055,62
12057,320
12059,5
12061,44
12063,8
12065,4
12067,2
12069,104
12071,132
12073,46
12075,19
12077,1
12079,2
12081,92
12083,181
12085,46
12086,975
12087,4
12089,14
12091,40
12093,11
12095,198
12097,77
12099,395
12101,132
12103,216
12105,238
12107,31
12113,29
12115,100
12117,82
12109,23
12111,107
12119,43
12121,6
12123,6
90012,0
12125,4
12127,177
12129,4
12131,7
12133,4
13001,8
13003,3
13005,5
13007,2
13009,23
13011,6
