FIPS,Deaths
01001,66
01003,306
01005,29
01007,34
01009,65
01011,9
01013,34
01015,232
01017,32
01019,25
01021,70
01023,5
01025,36
01027,15
01029,21
01031,90
01033,90
01035,38
01037,24
01039,89
01041,23
01043,122
01045,85
01047,68
01049,94
01051,109
01053,71
01055,199
01057,29
01059,31
01061,66
01063,13
01065,21
01067,25
01069,164
01071,92
01073,630
01075,20
01077,95
01079,45
01081,110
01083,85
01085,17
01087,21
01089,277
01091,38
01093,35
01095,107
01097,654
01099,27
01101,281
01103,155
80001,0
01105,13
01107,34
01109,37
01111,27
01113,35
01117,154
01115,135
01119,10
01121,136
01123,59
01125,231
90001,0
01127,125
01129,17
01131,13
01133,43
02013,2
02016,2
02020,241
02050,8
02060,0
02164,1
02063,5
02066,2
02068,1
02070,7
02090,78
02100,1
02110,9
02122,46
02130,11
02150,4
02158,6
02170,113
02180,2
02185,4
02188,8
02195,2
02198,5
02220,5
02230,0
02240,9
90002,1
02261,0
02275,1
02282,2
02290,4
60,0
04001,128
04003,123
04005,73
04007,64
04009,59
04011,12
04012,31
04013,3666
04015,403
04017,185
80004,0
04019,683
04021,404
04023,28
90004,0
04025,331
04027,138
05001,27
05003,20
05005,94
05007,251
05009,58
05011,11
05013,6
05015,33
05017,9
05019,24
05021,26
05023,31
05025,9
05027,22
05029,16
05031,81
05033,77
05035,90
05037,20
05039,7
05041,12
05043,20
05045,78
05047,18
05049,21
05051,168
05053,19
05055,53
05057,23
05059,43
05061,16
05063,45
05065,14
05067,13
05069,69
05071,28
05073,20
05075,21
05077,18
05079,13
05081,42
05083,34
05085,71
05087,19
05089,33
05091,113
05093,45
05095,10
05097,17
05099,17
05101,13
05103,35
05105,13
05107,44
05109,15
05111,29
05113,47
05115,60
05117,8
05119,373
05121,20
05125,92
05127,17
05129,10
05131,139
05133,36
05135,25
05123,33
05137,17
90005,0
05139,43
05141,25
05143,166
05145,99
05147,15
05149,18
06001,399
06003,0
06005,24
06007,134
06009,42
06011,9
06013,352
06015,37
06017,68
06019,849
06021,21
06023,89
06025,137
06027,11
06029,927
06031,146
06033,70
06035,36
06037,5699
06039,117
06041,35
06043,11
06045,56
06047,282
06049,2
06051,1
06053,302
06055,34
06057,39
06059,1804
80006,0
06061,231
06063,3
06065,1678
06067,1042
06069,21
06071,2359
06073,1032
06075,245
06077,737
06079,120
06081,315
06083,136
06085,221
06087,39
06089,251
06091,0
06093,50
06095,191
06097,134
06099,495
06101,87
06103,98
06105,14
06107,315
06109,37
90006,0
06111,415
06113,69
06115,48
08001,384
08003,24
08005,293
08007,8
08009,2
08011,17
08013,64
08014,20
08015,13
08017,2
08019,5
08021,34
08023,11
08025,13
08027,11
08029,56
08031,308
08033,5
08035,112
08037,10
08041,607
08039,16
08043,99
08045,38
08047,0
08049,12
08051,6
08053,0
08055,9
08057,0
08059,330
08061,1
08063,16
08067,28
08065,1
08069,172
08071,19
08073,4
08075,30
08077,229
08079,0
08081,26
08083,30
08085,78
08087,34
08089,55
08091,3
80008,0
08093,10
08095,2
08097,2
08099,20
08101,278
08103,7
08105,26
08107,5
08109,6
08111,0
08113,6
08115,4
08117,5
08119,35
90008,0
08121,14
08123,255
08125,3
09001,269
09003,341
09005,60
09007,60
09009,347
09011,96
09013,39
09015,49
10001,174
10003,361
10005,221
90010,0
88888,0
11001,177
12001,51
12003,6
12005,50
12007,6
12009,168
12011,680
12013,5
12015,67
12017,59
12019,48
12021,88
12023,13
12027,22
12029,3
12031,308
12033,75
12035,22
12037,3
12039,13
12041,8
12043,4
12045,4
12047,4
12049,16
12051,14
12053,83
12055,62
12057,328
12059,5
12061,45
12063,8
12065,4
12067,2
12069,103
12071,137
12073,49
12075,20
12077,1
12079,2
12081,94
12083,193
12085,51
12086,1023
12087,6
12089,15
12091,40
12093,11
12095,206
12097,81
12099,403
12101,153
12103,220
12105,247
12107,33
12113,29
12115,102
12117,86
12109,23
12111,110
12119,46
12121,7
12123,6
90012,24575
12125,4
12127,183
12129,4
12131,8
12133,4
13001,43
13003,18
13005,29
13007,7
13009,88
13011,31
13013,83
13015,163
13017,34
13019,30
13021,277
13023,36
13025,59
13027,28
13029,43
13031,126
13033,33
13035,50
13037,6
13039,66
13043,30
13045,138
13047,56
13049,29
13051,348
13053,9
13055,40
13057,211
13059,67
13061,1
13063,381
13065,12
13067,512
13069,91
13071,102
13073,126
13075,25
13077,224
13079,29
13081,55
13083,12
13085,42
13089,540
13087,43
13091,36
13093,22
13095,146
13097,127
13099,13
13101,5
13103,115
13105,27
13107,65
13109,32
13111,51
13113,104
13115,196
13117,133
13119,40
13121,703
13123,63
13125,4
13127,181
13129,100
13131,38
13133,21
13135,564
13137,69
13139,271
13141,25
13143,51
13145,47
13147,23
13149,26
13151,250
13153,185
13155,15
13157,93
13159,27
13161,16
13163,31
13165,19
13167,16
13169,55
13171,49
13173,5
13175,96
13177,31
13179,79
13181,12
13183,16
13185,135
13187,49
13193,19
13195,33
13197,25
13189,35
13191,17
13199,61
13201,14
13205,27
13207,64
13209,23
13211,31
13213,74
13215,305
13217,167
13219,20
13221,16
80013,581
13223,170
13225,65
13227,51
13229,55
13231,40
13233,85
13235,24
13237,38
13239,3
13241,30
13243,11
13245,304
13247,103
13249,5
13251,40
13253,8
13255,166
13257,47
13259,8
13261,44
13263,12
13265,1
13267,56
13269,16
13271,21
13273,16
13275,70
13277,65
13279,72
13281,35
13283,31
13285,125
13287,17
13289,26
13291,64
13293,74
13295,83
13297,130
13299,104
13301,14
13303,55
13305,98
13307,2
13309,12
13311,58
13313,133
13315,15
13317,17
13319,23
13321,33
99999,0
66,132
15001,85
15003,408
15007,12
15009,66
80015,8
90015,0
16001,400
16003,11
16005,107
16007,12
16009,22
16011,65
16013,11
16015,9
16017,95
16019,86
16021,36
16023,3
16025,1
16027,299
16029,11
16031,18
16033,0
16035,15
16037,3
16039,39
16041,12
16043,4
16045,36
16047,18
16049,22
16051,29
16053,33
16055,263
16057,34
16059,11
16061,17
16063,3
16065,18
16067,21
16069,53
16071,7
16073,16
16075,39
16077,8
16079,31
16081,3
16083,107
90016,0
16085,8
16087,26
17001,45
17003,5
17005,4
17007,13
17009,6
17011,24
17013,0
17015,7
17017,9
17019,81
17021,15
17023,13
17025,13
17027,16
17029,44
17031,2127
17033,8
17035,9
17039,8
17037,29
17041,5
17043,210
17045,13
17047,9
17049,38
17051,18
17053,14
17055,54
17057,41
17059,5
17061,8
17063,27
17065,8
17067,6
17069,4
17071,0
17073,25
17075,22
17077,35
17079,4
17081,32
17083,9
17085,7
17087,20
17089,184
17091,75
17093,33
17095,45
17099,75
17097,188
17101,12
17103,22
17105,28
17107,24
17115,76
17117,37
17119,163
17121,40
17123,8
17125,12
17127,21
17109,26
17111,79
17113,72
17129,6
17131,4
17133,22
17135,16
17137,27
17139,9
17141,22
80017,0
17143,124
17145,21
17147,0
17149,8
17151,3
17153,6
17155,2
17157,25
17159,23
17161,91
17165,25
17167,78
17169,7
17171,6
17173,19
17163,151
17175,7
17177,29
17179,111
90017,735
17181,13
17183,95
17185,7
17187,25
17189,7
17191,17
17193,8
17195,42
17197,272
17199,64
17201,144
17203,32
18001,32
18003,244
18005,42
18007,4
18009,17
18011,33
18013,11
18015,20
18017,28
18019,96
18021,18
18023,24
18025,16
18027,21
18033,29
18029,33
18031,22
18035,118
18037,28
18039,128
18041,38
18043,57
18045,20
18047,9
18049,35
18051,37
18053,83
18055,19
18057,87
18059,54
18061,34
18063,80
18065,72
18067,114
18069,34
18071,26
18073,49
18075,22
18077,30
18079,22
18081,105
18083,30
18085,55
18087,20
18091,65
18089,360
18093,72
18095,129
18097,586
18099,43
18101,5
18103,46
18105,58
18107,40
18109,65
18111,21
18113,44
18115,2
18117,21
18119,24
18121,14
18123,18
18125,12
18127,116
18129,13
18131,14
18133,24
18135,31
18137,31
18139,10
18143,30
18145,39
18147,17
18141,131
18149,22
18151,32
18153,15
18155,4
18157,72
18159,24
90018,154
18161,6
18163,117
18165,16
18167,79
18169,33
18171,2
18173,39
18175,28
18177,76
18179,26
18181,16
18183,24
19001,9
19003,4
19005,9
19007,10
19009,8
19011,5
19013,87
19015,9
19017,18
19019,12
19021,13
19023,13
19025,8
19027,7
19029,15
19031,4
19033,42
19035,12
19037,9
19039,9
19041,11
19043,6
19045,30
19047,12
19049,23
19051,2
19053,4
19055,15
19057,44
19059,16
19061,47
19063,6
19065,18
19067,9
19069,10
19071,4
19073,7
19075,7
19077,9
19079,15
19081,10
19083,14
19085,10
19087,18
