FIPS,Deaths
01001,22
01003,32
01005,9
01007,4
01009,12
01011,6
01013,5
01015,44
01017,13
01019,7
01021,16
01023,2
01025,11
01027,5
01029,4
01031,26
01033,22
01035,6
01037,6
01039,18
01041,3
01043,20
01045,10
01047,18
01049,15
01051,29
01053,8
01055,47
01057,7
01059,4
01061,11
01063,2
01065,10
01067,3
01069,28
01071,12
01073,195
01075,5
01077,40
01079,16
01081,24
01083,24
01085,3
01087,9
01089,71
01091,11
01093,11
01095,22
01097,112
01099,2
01101,114
01103,36
80001,0
01105,0
01107,8
01109,6
01111,4
01113,12
01117,40
01115,27
01119,1
01121,22
01123,13
01125,54
90001,0
01127,27
01129,4
01131,6
01133,5
02013,2
02016,1
02020,22
02050,3
02060,0
02164,0
02063,0
02066,0
02068,0
02070,1
02090,15
02100,0
02110,0
02122,0
02130,0
02150,1
02158,1
02170,25
02180,0
02185,0
02188,0
02195,0
02198,1
02220,2
02230,0
02240,2
90002,0
02261,0
02275,0
02282,1
02290,0
04001,53
04003,27
04005,20
04007,15
04009,12
04011,0
04012,7
04013,1164
04015,109
04017,60
80004,0
04019,211
04021,140
04023,12
90004,0
04025,68
04027,59
05001,5
05003,6
05005,10
05007,44
05009,7
05011,3
05013,1
05015,4
05017,3
05019,4
05021,4
05023,10
05025,1
05027,4
05029,4
05031,18
05033,18
05035,7
05037,4
05039,4
05041,2
05043,10
05045,17
05047,3
05049,1
05051,33
05053,5
05055,6
05057,2
05059,11
05061,2
05063,8
05065,1
05067,5
05069,11
05071,8
05073,1
05075,2
05077,3
05079,4
05081,4
05083,7
05085,20
05087,2
05089,1
05091,7
05093,5
05095,3
05097,4
05099,1
05101,0
05103,12
05105,2
05107,10
05109,1
05111,4
05113,9
05115,13
05117,1
05119,114
05121,4
05125,19
05127,0
05129,3
05131,32
05135,2
05123,8
05137,3
90005,0
05139,15
05141,5
05143,28
05145,17
05147,5
05149,3
06001,151
06003,0
06005,4
06007,21
06009,9
06011,4
06013,124
06015,3
06017,15
06019,322
06021,5
06023,19
06025,103
06027,0
06029,530
06031,28
06033,16
06035,1
06037,3031
06039,46
06041,18
06043,0
06045,8
06047,84
06049,1
06051,0
06053,168
06055,11
06057,6
06059,1203
06061,60
06063,0
06065,855
06067,275
06069,6
06071,1372
06073,477
06075,134
06077,312
06079,17
06081,223
06083,43
06085,386
06087,23
06089,31
06091,0
06093,24
06095,102
06097,38
06099,111
06101,15
06103,31
06105,0
06107,72
06109,11
90006,0
06111,257
06113,25
06115,10
08001,86
08003,7
08005,80
08007,2
08009,0
08011,1
08013,9
08014,3
08015,1
08017,0
08019,1
08021,15
08023,3
08025,3
08027,1
08029,10
08031,80
08033,1
08035,23
08037,2
08041,133
08039,3
08043,11
08045,12
08047,0
08049,1
08051,1
08053,0
08055,1
08057,0
08059,84
08061,0
08063,1
08067,6
08065,0
08069,23
08071,2
08073,0
08075,3
08077,54
08079,0
08081,5
08083,3
08085,13
08087,5
08089,6
08091,0
80008,0
08093,0
08095,0
08097,0
08099,1
08101,57
08103,1
08105,5
08107,2
08109,2
08111,0
08113,1
08115,1
08117,1
08119,5
90008,0
08121,1
08123,36
08125,1
09001,146
09003,155
09005,19
09007,33
09009,206
09011,40
09013,22
09015,15
10001,54
10003,151
10005,67
90010,0
88888,0
11001,122
12001,51
12003,6
12005,50
12007,6
12009,168
12011,680
12013,5
12015,67
12017,59
12019,48
12021,88
12023,13
12027,22
12029,3
12031,308
12033,75
12035,22
12037,3
12039,13
12041,8
12043,4
12045,4
12047,4
12049,16
12051,14
12053,83
12055,62
12057,328
12059,5
12061,45
12063,8
12065,4
12067,2
