FIPS,Deaths
01001,57
01003,272
01005,25
01007,27
01009,51
01011,8
01013,30
01015,209
01017,33
01019,23
01021,64
01023,4
01025,34
01027,14
01029,21
01031,91
01033,84
01035,33
01037,19
01039,78
01041,21
01043,115
01045,80
01047,66
01049,90
01051,103
01053,63
01055,183
01057,26
01059,28
01061,58
01063,12
01065,20
01067,25
01069,151
01071,86
01073,579
01075,16
01077,85
01079,34
01081,97
01083,71
01085,13
01087,20
01089,250
01091,35
01093,32
01095,97
01097,623
01099,26
01101,253
01103,132
80001,0
01105,13
01107,30
01109,35
01111,24
01113,31
01117,144
01115,121
01119,7
01121,123
01123,57
01125,207
90001,0
01127,116
01129,17
01131,14
01133,36
02013,2
02016,1
02020,177
02050,8
02060,0
02164,0
02063,4
02066,1
02068,1
02070,5
02090,59
02100,1
02110,7
02122,38
02130,8
02150,3
02158,5
02170,74
02180,2
02185,2
02188,5
02195,2
02198,5
02220,5
02230,0
02240,7
90002,1
02261,0
02275,0
02282,1
02290,1
60,0
04001,104
04003,80
04005,51
04007,47
04009,46
04011,6
04012,28
04013,3114
04015,345
04017,137
80004,0
04019,520
04021,320
04023,22
90004,0
04025,235
04027,120
05001,27
05003,21
05005,85
05007,226
05009,54
05011,11
05013,6
05015,32
05017,7
05019,21
05021,22
05023,28
05025,8
05027,21
05029,14
05031,76
05033,71
05035,80
05037,17
05039,7
05041,12
05043,19
05045,73
05047,15
05049,17
05051,165
05053,19
05055,50
05057,21
05059,40
05061,13
05063,43
05065,14
05067,10
05069,69
05071,27
05073,19
05075,16
05077,15
05079,13
05081,35
05083,28
05085,71
05087,19
05089,28
05091,90
05093,33
05095,9
05097,16
05099,16
05101,11
05103,34
05105,12
05107,43
05109,13
05111,27
05113,45
05115,59
05117,8
05119,346
05121,14
05125,89
05127,15
05129,9
05131,123
05133,27
05135,22
05123,31
05137,15
90005,0
05139,38
05141,23
05143,153
05145,90
05147,15
05149,15
06001,314
06003,0
06005,22
06007,97
06009,36
06011,8
06013,330
06015,37
06017,56
06019,726
06021,18
06023,82
06025,130
06027,6
06029,792
06031,120
06033,66
06035,27
06037,5170
06039,93
06041,33
06043,10
06045,47
06047,201
06049,2
06051,0
06053,264
06055,31
06057,25
06059,1674
80006,0
06061,195
06063,3
06065,1408
06067,925
06069,18
06071,2174
06073,910
06075,237
06077,671
06079,102
06081,311
06083,115
06085,199
06087,36
06089,203
06091,0
06093,41
06095,180
06097,128
06099,421
06101,79
06103,82
06105,8
06107,214
06109,37
90006,0
06111,399
06113,62
06115,41
08001,269
08003,17
08005,217
08007,4
08009,1
08011,9
08013,43
08014,11
08015,9
08017,1
08019,4
08021,29
08023,11
08025,12
08027,8
08029,34
08031,218
08033,4
08035,92
08037,10
08041,464
08039,13
08043,63
08045,31
08047,0
08049,11
08051,6
08053,0
08055,4
08057,0
08059,242
08061,1
08063,9
08067,19
08065,1
08069,129
08071,13
08073,4
08075,24
08077,160
08079,0
08081,25
08083,22
08085,46
08087,17
08089,27
08091,3
80008,0
08093,6
08095,1
08097,1
08099,13
08101,184
08103,5
08105,12
08107,4
08109,4
08111,0
08113,5
08115,3
08117,4
08119,24
90008,0
08121,10
08123,185
08125,2
09001,251
09003,301
09005,48
09007,54
09009,308
09011,83
09013,33
09015,40
10001,150
10003,321
10005,198
90010,0
88888,0
11001,171
12001,51
12003,6
12005,50
12007,6
12009,168
12011,680
12013,5
12015,67
12017,59
12019,48
12021,88
12023,13
12027,22
12029,3
12031,308
12033,75
12035,22
12037,3
12039,13
12041,8
12043,4
12045,4
12047,4
12049,16
12051,14
12053,83
12055,62
12057,328
12059,5
12061,45
12063,8
12065,4
12067,2
12069,103
12071,137
12073,49
12075,20
12077,1
12079,2
12081,94
12083,193
12085,51
12086,1023
12087,6
12089,15
12091,40
12093,11
12095,206
12097,81
12099,403
12101,153
12103,220
12105,247
12107,33
12113,29
12115,102
12117,86
12109,23
12111,110
12119,46
12121,7
12123,6
90012,22697
12125,4
12127,183
12129,4
12131,8
12133,4
13001,39
13003,18
13005,27
13007,7
13009,79
13011,28
13013,80
13015,147
13017,28
13019,26
13021,249
13023,25
13025,58
13027,25
13029,34
13031,109
13033,32
13035,41
13037,6
13039,63
13043,28
13045,94
13047,45
13049,28
13051,316
13053,8
13055,38
13057,184
13059,60
13061,1
13063,333
13065,11
13067,473
13069,74
13071,84
13073,108
13075,22
13077,202
13079,27
13081,49
13083,10
13085,35
13089,493
13087,33
13091,28
13093,19
13095,131
13097,112
13099,13
13101,5
13103,105
13105,23
13107,53
13109,31
13111,46
13113,92
13115,180
13117,117
13119,38
13121,649
13123,61
13125,3
13127,176
13129,92
13131,33
13133,18
13135,496
13137,64
13139,239
13141,24
13143,42
13145,38
13147,18
13149,21
13151,232
13153,155
13155,14
13157,82
13159,26
13161,13
13163,28
13165,18
13167,15
13169,50
13171,41
13173,5
13175,83
13177,29
13179,63
13181,12
13183,14
13185,123
13187,46
13193,17
13195,28
13197,24
13189,32
13191,16
13199,52
13201,13
13205,26
13207,59
13209,19
13211,24
13213,65
13215,270
13217,151
13219,20
13221,13
80013,485
13223,154
13225,54
13227,46
13229,52
13231,38
13233,77
13235,21
13237,34
13239,3
13241,22
13243,10
13245,266
13247,92
13249,4
13251,38
13253,7
13255,147
13257,36
13259,7
13261,39
13263,10
13265,1
13267,48
13269,14
13271,18
13273,14
13275,67
13277,58
13279,67
13281,32
13283,30
13285,109
13287,17
13289,24
13291,59
13293,61
13295,71
13297,122
13299,99
13301,13
13303,50
13305,93
13307,2
13309,11
13311,54
13313,118
13315,12
13317,15
13319,20
13321,29
99999,0
66,107
15001,65
15003,338
15007,8
15009,61
80015,5
90015,0
16001,342
16003,9
16005,89
16007,11
16009,16
16011,57
16013,11
16015,7
16017,66
16019,66
16021,21
16023,3
16025,1
16027,238
