FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
01035,Conecuh County,AL,47.1,9593.0,38
19095,Iowa County,IA,72.0,12413.0,11
13211,Morgan County,GA,29.4,14938.0,31
28075,Lauderdale County,MS,57.8,56837.0,98
17159,Richland County,IL,53.5,12011.0,23
18075,Jay County,IN,46.2,15280.0,22
37067,Forsyth County,NC,67.4,295401.0,237
47021,Cheatham County,TN,56.7,31791.0,34
46107,Potter County,SD,69.1,1698.0,1
48491,Williamson County,TX,74.6,441593.0,335
06053,Monterey County,CA,76.2,321346.0,302
48053,Burnet County,TX,58.6,38011.0,71
18127,Porter County,IN,63.3,133319.0,116
48401,Rusk County,TX,42.6,42382.0,94
05129,Searcy County,AR,43.6,6342.0,10
28115,Pontotoc County,MS,50.1,23698.0,40
18061,Harrison County,IN,57.6,31495.0,34
20073,Greenwood County,KS,57.1,4682.0,3
46045,Edmunds County,SD,53.0,2946.0,2
54103,Wetzel County,WV,12.9,12100.0,42
39167,Washington County,OH,59.6,48083.0,56
21033,Caldwell County,KY,59.5,9890.0,28
20197,Wabaunsee County,KS,53.9,5339.0,4
29043,Christian County,MO,52.9,66365.0,89
06095,Solano County,CA,70.7,349187.0,191
27053,Hennepin County,MN,79.3,989707.0,438
35029,Luna County,NM,81.2,17550.0,21
29185,St. Clair County,MO,38.8,7540.0,8
27011,Big Stone County,MN,71.1,3913.0,2
18001,Adams County,IN,43.7,24541.0,32
02020,Anchorage Municipality,AK,70.7,218802.0,241
08105,Rio Grande County,CO,69.1,8747.0,26
26073,Isabella County,MI,47.7,57748.0,67
29071,Franklin County,MO,62.0,80409.0,77
45039,Fairfield County,SC,58.9,18108.0,19
17019,Champaign County,IL,66.9,170397.0,81
13071,Colquitt County,GA,26.7,33909.0,102
45055,Kershaw County,SC,63.8,51197.0,88
47119,Maury County,TN,72.7,73954.0,78
40043,Dewey County,OK,32.3,3553.0,13
33009,Grafton County,NH,78.2,75544.0,18
22067,Morehouse Parish,LA,52.5,18848.0,49
28057,Itawamba County,MS,39.9,18362.0,32
51029,Buckingham County,VA,43.9,14117.0,12
55013,Burnett County,WI,61.5,12730.0,10
21137,Lincoln County,KY,46.9,18735.0,70
40063,Hughes County,OK,51.4,10386.0,27
48223,Hopkins County,TX,46.0,28123.0,45
39013,Belmont County,OH,50.7,54437.0,83
39113,Montgomery County,OH,62.3,414980.0,463
31043,Dakota County,NE,77.2,14192.0,8
48057,Calhoun County,TX,59.3,16194.0,17
48409,San Patricio County,TX,63.7,49132.0,166
48203,Harrison County,TX,46.3,49967.0,93
13181,Lincoln County,GA,24.3,6444.0,12
31153,Sarpy County,NE,71.4,136263.0,26
08073,Lincoln County,CO,40.2,4538.0,4
34003,Bergen County,NJ,82.2,735893.0,400
48135,Ector County,TX,52.0,115893.0,218
06101,Sutter County,CA,67.0,71995.0,87
06115,Yuba County,CA,59.5,57075.0,48
29105,Laclede County,MO,43.7,26892.0,66
12061,Indian River County,FL,71.7,134897.0,45
21109,Jackson County,KY,41.3,10337.0,22
19057,Des Moines County,IA,58.7,30179.0,44
18067,Howard County,IN,54.6,63822.0,114
27135,Roseau County,MN,59.9,11497.0,14
29186,Ste. Genevieve County,MO,52.0,13983.0,14
18045,Fountain County,IN,53.3,12798.0,20
47049,Fentress County,TN,38.7,14732.0,26
37117,Martin County,NC,58.4,17917.0,38
40057,Harmon County,OK,56.8,1990.0,4
51107,Loudoun County,VA,78.6,298272.0,66
51021,Bland County,VA,40.8,5341.0,8
47071,Hardin County,TN,45.9,20420.0,27
02150,Kodiak Island Borough,AK,72.1,9757.0,4
47135,Perry County,TN,46.8,6283.0,8
06071,San Bernardino County,CA,63.6,1610447.0,2359
13015,Bartow County,GA,21.2,82047.0,163
17109,McDonough County,IL,51.8,24559.0,26
38027,Eddy County,ND,61.3,1751.0,0
20195,Trego County,KS,44.2,2310.0,0
72023,Cabo Rojo Municipio,PR,74.4,38994.0,0
36119,Westchester County,NY,83.6,757224.0,255
21053,Clinton County,KY,46.5,7951.0,8
51640,Galax city,VA,46.8,4851.0,16
13215,Muscogee County,GA,41.7,147358.0,305
47053,Gibson County,TN,53.1,37332.0,48
51790,Staunton city,VA,54.7,20109.0,17
48441,Taylor County,TX,56.9,103784.0,223
39087,Lawrence County,OH,49.5,46614.0,89
72013,Arecibo Municipio,PR,99.9,67267.0,0
37147,Pitt County,NC,57.9,142466.0,69
51071,Giles County,VA,51.2,13311.0,19
51089,Henry County,VA,44.8,40871.0,67
22051,Jefferson Parish,LA,72.6,337196.0,336
46027,Clay County,SD,69.7,11619.0,2
48003,Andrews County,TX,54.7,12902.0,19
56029,Park County,WY,51.7,23235.0,79
19111,Lee County,IA,58.0,26512.0,53
41033,Josephine County,OR,56.6,70421.0,192
06099,Stanislaus County,CA,67.2,402227.0,495
40039,Custer County,OK,55.6,21817.0,59
48189,Hale County,TX,50.0,24457.0,44
39149,Shelby County,OH,42.8,36627.0,51
28053,Humphreys County,MS,65.2,5964.0,12
54041,Lewis County,WV,36.2,12565.0,40
02068,Denali Borough,AK,55.4,1698.0,1
08089,Otero County,CO,55.8,13909.0,55
30089,Sanders County,MT,42.7,10004.0,20
37163,Sampson County,NC,58.6,48081.0,49
05087,Madison County,AR,48.7,12727.0,19
08009,Baca County,CO,46.8,2785.0,2
38047,Logan County,ND,41.1,1433.0,3
05047,Franklin County,AR,54.8,13756.0,18
08099,Prowers County,CO,49.9,9048.0,20
28159,Winston County,MS,54.5,13935.0,17
47181,Wayne County,TN,44.6,13899.0,11
48347,Nacogdoches County,TX,51.2,50203.0,87
48063,Camp County,TX,46.3,9646.0,26
50007,Chittenden County,VT,74.8,135236.0,43
13121,Fulton County,GA,35.9,835904.0,703
21017,Bourbon County,KY,62.7,15331.0,31
30071,Phillips County,MT,51.2,3015.0,14
13257,Stephens County,GA,18.0,20097.0,47
13207,Monroe County,GA,15.5,21985.0,64
16015,Boise County,ID,36.4,6551.0,9
16023,Butte County,ID,56.2,1966.0,3
16039,Elmore County,ID,52.7,20550.0,39
26045,Eaton County,MI,62.9,87545.0,124
46023,Charles Mix County,SD,64.6,6520.0,6
41015,Curry County,OR,58.8,19678.0,33
37003,Alexander County,NC,50.1,30040.0,44
72027,Camuy Municipio,PR,80.2,25034.0,0
37047,Columbus County,NC,48.8,44013.0,88
48187,Guadalupe County,TX,60.7,125578.0,157
05143,Washington County,AR,59.5,181437.0,166
46075,Jones County,SD,77.4,708.0,1
17155,Putnam County,IL,62.6,4596.0,2
18129,Posey County,IN,54.3,19900.0,13
30105,Valley County,MT,53.6,5726.0,18
17107,Logan County,IL,60.1,23117.0,24
26143,Roscommon County,MI,61.3,20473.0,48
40115,Ottawa County,OK,45.2,23449.0,56
41037,Lake County,OR,45.1,6366.0,10
26165,Wexford County,MI,59.6,25887.0,50
46061,Hanson County,SD,51.7,2410.0,1
51047,Culpeper County,VA,54.4,39586.0,40
20091,Johnson County,KS,80.6,457530.0,225
37051,Cumberland County,NC,72.9,252655.0,224
29179,Reynolds County,MO,29.5,5012.0,6
42067,Juniata County,PA,45.2,19221.0,45
48097,Cooke County,TX,44.0,31512.0,42
18157,Tippecanoe County,IN,63.6,155406.0,72
41059,Umatilla County,OR,63.1,58394.0,98
20103,Leavenworth County,KS,67.8,62600.0,59
21057,Cumberland County,KY,49.6,5226.0,10
17165,Saline County,IL,54.4,18467.0,25
48041,Brazos County,TX,56.2,181925.0,150
48339,Montgomery County,TX,61.4,448951.0,667
47169,Trousdale County,TN,40.0,9268.0,5
51683,Manassas city,VA,59.4,30062.0,15
27105,Nobles County,MN,71.4,15671.0,7
27055,Houston County,MN,68.2,14533.0,3
17017,Cass County,IL,67.9,9186.0,9
24005,Baltimore County,MD,76.7,648488.0,616
26089,Leelanau County,MI,88.3,18267.0,19
19073,Greene County,IA,66.8,6853.0,7
51037,Charlotte County,VA,45.5,9396.0,14
56025,Natrona County,WY,50.3,60737.0,89
31031,Cherry County,NE,40.0,4352.0,1
34001,Atlantic County,NJ,71.8,208133.0,234
48383,Reagan County,TX,48.7,2734.0,2
51630,Fredericksburg city,VA,46.1,22883.0,7
13317,Wilkes County,GA,22.3,7735.0,17
13177,Lee County,GA,22.6,22122.0,31
31039,Cuming County,NE,60.1,6696.0,4
31061,Franklin County,NE,43.5,2383.0,1
06063,Plumas County,CA,0.0,15537.0,3
31181,Webster County,NE,44.6,2727.0,3
13247,Rockdale County,GA,23.0,68889.0,103
06077,San Joaquin County,CA,70.1,557577.0,737
26013,Baraga County,MI,66.6,6811.0,14
38001,Adams County,ND,55.1,1789.0,3
20071,Greeley County,KS,63.5,899.0,2
42073,Lawrence County,PA,57.5,68515.0,111
48477,Washington County,TX,56.8,28217.0,49
17199,Williamson County,IL,62.2,52143.0,64
13111,Fannin County,GA,25.5,21950.0,51
17023,Clark County,IL,55.3,11998.0,13
17005,Bond County,IL,58.9,13292.0,4
21157,Marshall County,KY,61.0,24726.0,32
55039,Fond du Lac County,WI,61.6,81450.0,73
21169,Metcalfe County,KY,46.1,7717.0,27
17063,Grundy County,IL,64.5,38268.0,27
48167,Galveston County,TX,67.2,259845.0,367
30039,Granite County,MT,39.7,2886.0,4
12111,St. Lucie County,FL,63.1,264186.0,110
38063,Nelson County,ND,76.8,2322.0,3
29081,Harrison County,MO,39.9,6330.0,3
24029,Kent County,MD,71.1,16423.0,14
51610,Falls Church city,VA,65.7,10976.0,7
29053,Cooper County,MO,48.6,13892.0,9
30059,Meagher County,MT,56.4,1513.0,2
05065,Izard County,AR,40.1,11181.0,14
56037,Sweetwater County,WY,53.5,31375.0,67
18079,Jennings County,IN,46.5,21290.0,22
51121,Montgomery County,VA,48.4,83465.0,35
18073,Jasper County,IN,53.8,25822.0,49
53077,Yakima County,WA,72.3,176923.0,213
28025,Clay County,MS,51.5,14994.0,28
01013,Butler County,AL,44.0,15174.0,34
26055,Grand Traverse County,MI,74.3,74544.0,65
36015,Chemung County,NY,64.5,65773.0,45
46015,Brule County,SD,62.4,3932.0,3
05107,Phillips County,AR,57.4,13206.0,44
05147,Woodruff County,AR,63.6,4968.0,15
39009,Athens County,OH,52.7,55914.0,49
12069,Lake County,FL,72.0,297740.0,103
37109,Lincoln County,NC,53.6,67981.0,47
18183,Whitley County,IN,55.6,26175.0,24
35027,Lincoln County,NM,64.5,16003.0,24
45081,Saluda County,SC,34.6,16103.0,10
40153,Woodward County,OK,44.5,15345.0,33
42065,Jefferson County,PA,53.7,34209.0,56
37153,Richmond County,NC,54.4,34516.0,59
50025,Windham County,VT,69.8,34772.0,13
51073,Gloucester County,VA,66.0,29902.0,41
36023,Cortland County,NY,63.3,38456.0,29
29027,Callaway County,MO,52.2,35410.0,32
48109,Culberson County,TX,60.5,1685.0,4
72095,Maunabo Municipio,PR,76.7,8470.0,0
16071,Oneida County,ID,52.8,3247.0,7
13109,Evans County,GA,28.0,7842.0,32
13273,Terrell County,GA,33.0,6568.0,16
18111,Newton County,IN,35.9,11065.0,21
08075,Logan County,CO,41.3,18395.0,30
37183,Wake County,NC,77.3,849055.0,381
39101,Marion County,OH,54.0,51391.0,65
35047,San Miguel County,NM,69.6,22517.0,18
01009,Blount County,AL,35.8,44571.0,65
54109,Wyoming County,WV,43.0,16232.0,33
42083,McKean County,PA,43.9,32567.0,44
72125,San German Municipio,PR,79.1,24806.0,0
26103,Marquette County,MI,69.7,54805.0,33
48015,Austin County,TX,54.7,22872.0,28
40067,Jefferson County,OK,49.8,4551.0,9
51125,Nelson County,VA,62.9,12267.0,13
30087,Rosebud County,MT,95.3,6368.0,14
19117,Lucas County,IA,53.8,6640.0,5
55015,Calumet County,WI,62.7,38423.0,23
05105,Perry County,AR,58.2,8097.0,13
17031,Cook County,IL,75.8,4036995.0,2127
21061,Edmonson County,KY,37.5,9988.0,15
17021,Christian County,IL,53.1,25804.0,15
22031,De Soto Parish,LA,49.0,20944.0,42
20029,Cloud County,KS,54.9,6750.0,4
08033,Dolores County,CO,46.6,1655.0,5
29101,Johnson County,MO,45.2,42414.0,35
51820,Waynesboro city,VA,52.8,17265.0,18
17055,Franklin County,IL,51.7,29993.0,54
38019,Cavalier County,ND,68.9,2910.0,0
21129,Lee County,KY,54.1,6034.0,18
01125,Tuscaloosa County,AL,48.0,165385.0,231
53073,Whatcom County,WA,76.5,185293.0,92
42051,Fayette County,PA,60.8,104556.0,194
72141,Utuado Municipio,PR,75.0,22482.0,0
48023,Baylor County,TX,49.5,2707.0,13
23025,Somerset County,ME,66.8,41017.0,34
49035,Salt Lake County,UT,75.1,851292.0,477
19191,Winneshiek County,IA,66.9,16285.0,16
17177,Stephenson County,IL,67.7,35034.0,29
26079,Kalkaska County,MI,53.5,14343.0,25
42121,Venango County,PA,47.6,40992.0,85
20101,Lane County,KS,49.4,1198.0,1
48037,Bowie County,TX,44.7,71264.0,164
30047,Lake County,MT,65.0,23376.0,56
21231,Wayne County,KY,46.0,16211.0,27
51830,Williamsburg city,VA,43.0,13321.0,4
17037,DeKalb County,IL,60.9,82430.0,29
55079,Milwaukee County,WI,70.5,720305.0,422
45007,Anderson County,SC,45.9,156658.0,331
41045,Malheur County,OR,55.0,22654.0,29
42049,Erie County,PA,63.3,212712.0,165
01067,Henry County,AL,50.6,13697.0,25
