FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
48413,Schleicher County,TX,0.0,2126.0
39055,Geauga County,OH,18.9,72542.0
47115,Marion County,TN,14.8,22831.0
28129,Smith County,MS,14.6,12265.0
19111,Lee County,IA,21.0,26512.0
32009,Esmeralda County,NV,15.1,750.0
13031,Bulloch County,GA,11.0,63851.0
18171,Warren County,IN,20.3,6429.0
19173,Taylor County,IA,29.0,4687.0
19135,Monroe County,IA,26.3,5936.0
49025,Kane County,UT,20.9,6021.0
46063,Harding County,SD,5.7,988.0
08003,Alamosa County,CO,1.9,12308.0
12127,Volusia County,FL,21.1,456508.0
08049,Grand County,CO,1.9,13108.0
39119,Muskingum County,OH,21.3,66777.0
19089,Howard County,IA,21.8,6875.0
41013,Crook County,OR,16.4,19581.0
13025,Brantley County,GA,3.3,14683.0
08067,La Plata County,CO,10.1,45749.0
36115,Washington County,NY,20.0,49814.0
30037,Golden Valley County,MT,25.3,645.0
06093,Siskiyou County,CA,22.7,34803.0
30033,Garfield County,MT,17.8,966.0
13237,Putnam County,GA,3.2,17786.0
51195,Wise County,VA,10.8,30248.0
51119,Middlesex County,VA,22.8,8888.0
17089,Kane County,IL,18.8,399424.0
51101,King William County,VA,9.9,13236.0
29063,DeKalb County,MO,10.7,10404.0
05119,Pulaski County,AR,23.7,301549.0
17065,Hamilton County,IL,21.5,6343.0
54081,Raleigh County,WV,13.2,58151.0
30031,Gallatin County,MT,17.4,91888.0
46061,Hanson County,SD,11.8,2410.0
42099,Perry County,PA,12.7,36410.0
13017,Ben Hill County,GA,3.0,12605.0
01017,Chambers County,AL,11.7,26341.0
13033,Burke County,GA,14.1,16641.0
35007,Colfax County,NM,17.4,9803.0
08125,Yuma County,CO,0.4,7274.0
38089,Stark County,ND,17.8,22941.0
48177,Gonzales County,TX,0.0,15272.0
51595,Emporia city,VA,0.0,4073.0
48079,Cochran County,TX,0.0,2088.0
29049,Clinton County,MO,18.4,15648.0
05007,Benton County,AR,14.2,206487.0
05143,Washington County,AR,17.4,181437.0
16015,Boise County,ID,16.5,6551.0
12061,Indian River County,FL,29.4,134897.0
37159,Rowan County,NC,18.1,110729.0
20109,Logan County,KS,32.8,2120.0
08027,Custer County,CO,1.3,4371.0
17015,Carroll County,IL,20.8,11549.0
39091,Logan County,OH,14.6,35139.0
13279,Toombs County,GA,3.4,19778.0
39033,Crawford County,OH,20.0,32520.0
55027,Dodge County,WI,19.7,70666.0
51133,Northumberland County,VA,12.2,10340.0
18047,Franklin County,IN,13.7,17514.0
31121,Merrick County,NE,21.4,6015.0
18097,Marion County,IN,19.3,727665.0
47139,Polk County,TN,15.3,13617.0
72121,Sabana Grande Municipio,PR,20.0,17818.0
26031,Cheboygan County,MI,21.6,21172.0
51810,Virginia Beach city,VA,13.7,351000.0
39151,Stark County,OH,16.4,291682.0
06039,Madera County,CA,18.1,114178.0
29213,Taney County,MO,11.6,44243.0
31103,Keya Paha County,NE,14.9,659.0
